date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:05	16253/16253	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:57:42%20GMT	https://ielts-up.com/index.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/index.html	(from )
14:55:05	296/296	---M--	200	added ('OK')	text/plain	date:Sun,%2029%20Nov%202015%2021:29:31%20GMT	https://ielts-up.com/robots.txt		(from )
14:55:05	17547/17547	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2020:31:32%20GMT	https://ielts-up.com/ipad.css	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/ipad.css	(from https://ielts-up.com/index.html)
14:55:06	17665/17665	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2020:31:32%20GMT	https://ielts-up.com/style.css	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/style.css	(from https://ielts-up.com/index.html)
14:55:06	12589/12589	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202020%2017:25:27%20GMT	https://ielts-up.com/ielts-writing-correction.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/ielts-writing-correction.html	(from https://ielts-up.com/index.html)
14:55:07	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20May%202022%2008:55:06%20GMT	http://ielts-up.com/	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/index-2.html	(from https://ielts-up.com/index.html)
14:55:07	9517/9517	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:56:17%20GMT	https://ielts-up.com/writing/ielts-vocabulary-writing.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/writing/ielts-vocabulary-writing.html	(from https://ielts-up.com/index.html)
14:55:07	10643/10643	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:51:41%20GMT	https://ielts-up.com/speaking/ielts-vocabulary-speaking.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/speaking/ielts-vocabulary-speaking.html	(from https://ielts-up.com/index.html)
14:55:08	16594/16594	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jan%202019%2015:57:40%20GMT	https://ielts-up.com/ielts-score-maximizer.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/ielts-score-maximizer.html	(from https://ielts-up.com/index.html)
14:55:08	17739/17739	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2007:32:21%20GMT	https://ielts-up.com/listening/ielts-listening-practice.html	C:/Users/WALTON/Desktop/Ielts%20Up/ielts-up.com/listening/ielts-listening-practice.html	(from https://ielts-up.com/index.html)
